3000 3 
0.091 0.878 0.329
0.261 0.424 0.128
0.686 0.306 0.035
0.318 0.431 0.042
0.373 0.294 0.538
0.253 0.546 0.213
0.58 0.2 0.424
0.414 0.474 0.681
0.259 0.267 0.709
0.252 0.961 0.649
0.992 0.894 0.162
0.858 0.408 0.289
0.681 0.801 0.503
0.09 0.632 0.289
0.039 0.044 0.329
0.52 0.337 0.948
0.323 0.79 0.351
0.978 0.6 0.58
0.982 0.362 0.979
0.382 0.244 0.141
0.482 0.16 0.598
0.631 0.088 0.767
0.226 0.678 0.899
0.188 0.749 0.249
0.815 0.668 0.964
0.632 0.598 0.096
0.326 0.432 0.563
0.41 0.045 0.429
0.71 0.736 0.265
0.503 0.34 0.281
0.686 0.843 0.057
0.28 0.864 0.778
0.611 0.601 0.057
0.169 0.022 0.684
0.791 0.247 0.419
0.375 0.583 0.452
0.699 0.326 0.824
0.326 0.919 0.299
0.632 0.69 0.882
0.074 0.367 0.869
0.284 0.746 0.689
0.273 0.433 0.629
0.662 0.081 0.477
0.605 0.343 0.754
0.575 0.288 0.568
0.05 0.202 0.465
0.068 0.854 0.004
0.364 0.349 0.016
0.737 0.683 0.77
0.331 0.226 0.59
0.733 0.143 0.906
0.838 0.637 0.349
0.804 0.726 0.027
0.705 0.119 0.63
0.253 0.63 0.513
0.85 0.418 0.454
0.165 0.588 0.906
0.37 0.336 0.101
0.614 0.091 0.249
0.167 0.515 0.599
0.585 0.392 0.318
0.298 0.394 0.942
0.079 0.523 0.637
0.446 0.222 0.68
0.752 0.775 0.621
0.352 0.208 0.852
0.806 0.066 0.736
0.725 0.641 0.328
0.214 0.174 0.754
0.194 0.945 0.544
0.851 0.352 0.235
0.73 0.702 0.803
0.401 0.46 0.621
0.591 0.546 0.656
0.421 0.977 0.193
0.752 0.636 0.762
0.078 0.595 0.854
0.666 0.355 0.468
0.397 0.221 0.498
0.392 0.525 0.799
0.129 0.604 0.542
0.777 0.717 0.134
0.645 0.781 0.515
0.754 0.263 0.823
0.981 0.163 0.537
0.618 0.308 0.814
0.274 0.236 0.827
0.691 0.388 0.839
0.921 0.697 0.943
0.874 0.968 0.719
0.683 0.741 0.28
0.453 0.841 0.412
0.914 0.712 0.388
0.352 0.537 0.801
0.066 0.528 0.709
0.429 0.133 0.843
0.898 0.284 0.313
0.28 0.602 0.033
0.997 0.115 0.374
0.101 0.163 0.867
0.188 0.09 0.568
0.729 0.029 0.138
0.92 0.604 0.485
0.288 0.832 0.392
0.441 0.987 0.441
0.321 0.95 0.724
0.535 0.944 0.215
0.748 0.207 0.658
0.444 0.214 0.135
0.191 0.811 0.922
0.903 0.133 0.809
0.887 0.452 0.915
0.687 0.739 0.913
0.242 0.96 0.892
0.217 0.477 0.13
0.922 0.458 0.889
0.044 0.275 0.791
0.797 0.727 0.687
0.208 0.457 0.053
0.153 0.901 0.315
0.078 0.738 0.863
0.732 0.048 0.681
0.891 0.131 0.814
0.882 0.945 0.622
0.224 0.255 0.361
0.728 0.663 0.766
0.736 0.779 0.335
0.754 0.718 0.523
0.959 0.147 0.185
0.877 0.973 0.856
0.022 0 0.204
0.676 0.263 0.589
0.791 0.944 0.749
0.792 0.47 0.189
0.26 0.403 0.361
0.158 0.267 0.873
0.231 0.782 0.974
0.916 0.409 0.669
0.848 0.565 0.14
0.955 0.486 0.157
0.842 0.292 0.627
0.14 0.089 0.954
0.685 0.361 0.956
0.981 0.353 0.236
0.345 0.074 0.676
0.564 0.27 0.815
0.373 0.171 0.888
0.906 0.258 0.233
0.241 0.004 0.579
0.629 0.934 0.721
0.068 0.418 0.535
0.281 0.109 0.483
0.536 0.088 0.58
0.373 0.282 0.904
0.642 0.007 0.633
0.798 0.912 0.111
0.407 0.214 0.279
0.226 0.499 0.698
0.377 0.028 0.889
0.407 0.334 0.19
0.533 0.696 0.438
0.82 0.532 0.065
0.123 0.802 0.572
0.234 0.82 0.35
0.949 0.138 0.938
0.769 0.969 0.291
0.179 0.124 0.82
0.768 0.078 0.766
0.767 0.946 0.374
0.359 0.158 0.093
0.301 0.88 0.643
0.973 0.602 0.676
0.57 0.41 0.859
0.735 0.437 0.549
0.21 0.292 0.507
0.095 0.636 0.744
0.033 0.49 0.736
0.018 0.393 0.492
0.718 0.514 0.989
0.292 0.785 0.677
0.34 0.507 0.525
0.305 0.718 0.25
0.434 0.813 0.648
0.245 0.379 0.025
0.047 0.843 0.565
0.002 0.839 0.029
0.277 0.71 0.334
0.978 0.19 0.519
0.005 0.95 0.702
0.107 0.252 0.626
0.348 0.549 0.411
0.458 0.203 0.878
0.314 0.19 0.47
0.949 0.989 0.587
0.639 0.829 0.659
0.175 0.796 0.057
0.997 0.87 0.224
0.479 0.618 0.806
0.204 0.619 0.222
0.505 0.067 0.98
0.205 0.104 0.136
0.323 0.501 0.149
0.638 0.569 0.604
0.302 0.177 0.126
0.181 0.804 0.972
0.212 0.051 0.79
0.438 0.68 0.541
0.861 0.337 0.336
0.899 0.095 0.55
0.066 0.69 0.104
0.21 0.131 0.735
0.75 0.142 0.78
0.694 0.496 0.279
0.736 0.915 0.85
0.836 0.875 0.007
0.672 0.026 0.264
0.296 0.77 0.398
0.461 0.39 0.509
0.8 0.356 0.666
0.667 0.172 0.7
0.264 0.499 0.157
0.616 0.054 0.647
0.982 0.796 0.055
0.827 0.161 0.969
0.713 0.421 0.787
0.042 0.51 0.627
0.055 0.598 0.149
0.357 0.624 0.826
0.804 0.342 0.495
0.966 0.749 0.758
0.82 0.292 0.516
0.303 0.048 0.186
0.306 0.007 0.906
0.403 0.273 0.606
0.424 0.655 0.842
0.921 0.141 0.263
0.948 0.311 0.703
0.779 0.694 0.6
0.259 0.273 0.056
0.944 0.274 0.216
0.971 0.098 0.27
0.908 0.703 0.55
0.358 0.14 0.804
0.514 0.787 0.415
0.964 0.382 0.509
0.613 0.572 0.232
0.001 0.346 0.615
0.984 0.506 0.333
0.113 0.592 0.001
0.737 0.801 0.883
0.157 0.792 0.331
0.091 0.672 0.122
0.776 0.636 0.449
0.276 0.429 0.501
0.457 0.117 0.189
0.615 0.875 0.856
0.001 0.934 0.761
0.46 0.52 0.466
0.427 0.073 0.414
0.496 0.257 0.153
0.697 0.446 0.716
0.359 0.98 0.748
0.082 0.683 0.87
0.223 0.479 0.312
0.292 0.337 0.87
0.873 0.702 0.583
0.345 0.14 0.022
0.321 0.494 0.899
0.139 0.813 0.829
0.457 0.188 0.433
0.712 0.731 0.518
0.503 0.859 0.132
0.474 0.07 0.954
0.528 0.284 0.248
0.85 0.133 0.042
0.824 0.406 0.345
0.856 0.775 0.172
0.184 0.989 0.945
0.022 0.077 0.297
0.777 0.76 0.748
0.855 0.526 0.269
0.466 0.893 0.648
0.153 0.105 0.989
0.767 0.534 0.966
0.033 0.098 0.22
0.787 0.275 0.009
0.689 0.762 0.944
0.065 0.358 0.849
0.45 0.471 0.206
0.412 0.388 0.883
0.43 0.88 0.935
0.814 0.462 0.489
0.247 0.507 0.334
0.296 0.526 0.241
0.325 0.179 0.151
0.097 0.541 0.229
0.655 0.138 0.1
0.081 0.726 0.738
0.729 0.923 0.471
0.276 0.288 0.097
0.677 0.086 0.831
0.739 0.409 0.155
0.182 0.72 0.347
0.182 0.417 0.324
0.194 0.897 0.556
0.289 0.201 0.567
0.613 0.049 0.529
0.904 0.363 0.399
0.256 0.733 0.776
0.583 0.627 0.067
0.2 0.466 0.072
0.671 0.61 0.678
0.066 0.447 0.771
0.039 0.002 0.919
0.765 0.169 0.985
0.133 0.561 0.497
0.232 0.217 0.709
0.666 0.335 0.003
0.879 0.649 0.398
0.76 0.104 0.773
0.005 0.243 0.013
0.287 0.978 0.515
0.988 0.864 0.083
0.413 0.215 0.679
0.651 0.937 0.237
0.536 0.484 0.421
0.749 0.005 0.055
0.144 0.354 0.585
0.304 0.927 0.228
0.388 0.495 0.738
0.208 0.475 0.999
0.979 0.21 0.365
0.012 0.563 0.588
0.461 0.578 0.69
0.783 0.62 0.323
0.889 0.798 0.998
0.814 0.702 0.296
0.312 0.741 0.163
0.122 0.564 0.732
0.393 0.703 0.155
0.827 0.528 0.214
0.349 0.775 0.127
0.682 0.586 0.019
0.664 0.273 0.721
0.004 0.447 0.181
0.653 0.934 0.072
0.657 0.188 0.122
0.091 0.668 0.152
0.536 0.612 0.652
0.161 0.563 0.544
0.83 0.744 0.981
0.944 0.659 0.372
0.862 0.624 0.239
0.093 0.606 0.625
0.909 0.828 0.388
0.475 0.515 0.662
0.54 0.835 0.366
0.303 0.102 0.453
0.426 0.721 0.755
0.529 0.724 0.922
0.461 0.059 0.98
0.405 0.572 0.872
0.523 0.674 0.635
0.198 0.438 0.699
0.956 0.503 0.292
0.548 0.537 0.942
0.079 0.37 0.895
0.256 0.134 0.044
0.687 0.845 0.322
0.812 0.433 0.511
0.809 0.118 0.435
0.132 0.314 0.538
0.327 0.106 0.058
0.485 0.208 0.774
0.715 0.194 0.221
0.986 0.462 0.066
0.301 0.81 0.386
0.901 0.027 0.989
0.213 0.088 0.183
0.124 0.665 0.672
0.404 0.005 0.041
0.893 0.532 0.915
0.887 0.05 0.824
0.108 0.905 0.843
0.912 0.651 0.708
0.554 0.586 0.687
0.648 0.294 0.835
0.235 0.806 0.63
0.272 0.915 0.546
0.859 0.151 0.798
0.436 0.467 0.652
0.214 0.171 0.437
0.063 0.703 0.166
0.548 0.232 0.826
0.919 0.64 0.474
0.105 0.022 0.267
0.466 0.479 0.593
0.604 0.064 0.215
0.322 0.379 0.908
0.817 0.326 0.379
0.82 0.591 0.861
0.461 0.248 0.196
0.108 0.064 0.086
0.926 0.476 0.7
0.475 0.111 0.606
0.91 0.898 0.29
0.965 0.646 0.245
0.198 0.488 0.98
0.06 0.903 0.839
0.6 0.7 0.206
0.379 0.336 0.923
0.581 0.966 0.696
0.261 0.951 0.28
0.226 0.473 0.04
0.51 0.561 0.394
0.57 0.015 0.609
0.981 0.913 0.058
0.862 0.871 0.662
0.62 0.816 0.418
0.671 0.123 0.611
0.855 0.921 0.081
0.512 0.021 0.656
0.168 0.208 0.357
0.737 0.165 0.252
0.784 0.483 0.066
0.457 0.858 0.19
0.114 0.066 0.536
0.521 0.069 0.231
0.007 0.298 0.252
0.043 0.774 0.925
0.966 0.918 0.057
0.214 0.515 0.817
0.608 0.881 0.786
0.097 0.6 0.133
0.85 0.921 0.779
0.108 0.373 0.542
0.797 0.611 0.635
0.646 0.962 0.537
0.352 0.941 0.147
0.244 0.581 0.225
0.177 0.13 0.061
0.722 0.035 0.287
0.196 0.037 0.515
0.516 0.628 0.2
0.915 0.894 0.484
0.856 0.483 0.634
0.674 0.675 0.398
0.82 0.259 0.246
0.845 0.879 0.218
0.16 0.364 0.303
0.828 0.213 0.271
0.636 0.14 0.828
0.471 0.258 0.935
0.474 0.548 0.565
0.299 0.593 0.115
0.89 0.705 0.061
0.9 0.172 0.19
0.083 0.408 0.893
0.511 0.571 0.333
0.56 0.156 0.248
0.221 0.683 0.038
0.99 0.746 0.842
0.049 0.745 0.967
0.082 0.226 0.217
0.261 0.405 0.526
0.359 0.363 0.14
0.563 0.191 0.474
0.594 0.263 0
0.064 0.678 0.856
0.538 0.892 0.505
0.012 0.967 0.026
0.449 0.212 0.152
0.442 0.631 0.211
0.928 0.196 0.272
0.839 0.3 0.526
0.954 0.174 0.252
0.828 0.789 0.856
0.137 0.612 0.747
0.873 0.085 0.585
0.584 0.011 0.192
0.422 0.814 0.908
0.871 0.171 0.748
0.932 0.623 0.974
0.921 0.829 0.892
0.988 0.897 0.802
0.997 0.062 0.094
0.717 0.656 0.84
0.693 0.619 0.565
0.573 0.556 0.718
0.531 0.593 0.799
0.392 0.055 0.646
0.445 0.923 0.064
0.575 0.34 0.136
0.018 0.196 0.734
0.148 0.802 0.082
0.911 0.296 0.288
0.953 0.646 0.065
0.174 0.613 0.017
0.503 0.975 0.824
0.557 0.432 0.166
0.103 0.297 0.617
0.552 0.64 0.698
0.596 0.92 0.837
0.87 0.394 0.592
0.482 0.461 0.827
0.898 0.975 0.248
0.569 0.819 0.063
0.427 0.573 0.184
0.612 0.398 0.205
0.455 0.376 0.964
0.369 0.901 0.876
0.335 0.498 0.32
0.289 0.07 0.844
0.787 0.238 0.912
0.259 0.356 0.16
0.944 0.399 0.447
0.985 0.601 0.612
0.354 0.744 0.759
0.597 0.903 0.302
0.376 0.784 0.463
0.731 0.929 0.544
0.743 0.197 0.763
0.714 0.498 0.329
0.396 0.436 0.772
0.498 0.673 0.961
0.81 0.673 0.323
0.785 0.23 0.017
0.886 0.623 0.321
0.706 0.451 0.049
0.22 0.763 0.352
0.978 0.981 0.659
0.11 0.077 0.993
0.668 0.481 0.7
0.554 0.181 0.115
0.614 0.646 0.059
0.006 0.478 0.831
0.324 0.6 0.99
0.573 0.641 0.846
0.062 0.415 0.036
0.134 0.124 0.971
0.713 0.672 0.903
0.367 0.637 0.985
0.619 0.437 0.813
0.688 0.544 0.495
0.346 0.523 0.265
0.03 0.063 0.173
0.283 0.184 0.945
0.592 0.903 0.373
0.597 0.125 0.788
0.344 0.858 0.004
0.582 0.513 0.847
0.906 0.561 0.538
0.432 0.335 0.368
0.964 0.579 0.707
0.337 0.724 0.498
0.216 0.377 0.19
0.005 0.158 0.887
0.208 0.746 0.643
0.486 0.165 0.119
0.305 0.537 0.158
0.338 0.631 0.587
0.259 0.393 0.131
0.814 0.849 0.437
0.189 0.231 0.11
0.469 0.098 0.281
0.563 0.64 0.009
0.233 0.348 0.742
0.747 0.796 0.846
0.142 0.727 0.824
0.496 0.996 0.771
0.075 0.905 0.078
0.166 0.522 0.326
0.817 0.056 0.945
0.016 0.848 0.935
0.637 0.654 0.043
0.922 0.033 0.228
0.499 0.886 0.004
0.504 0.378 0.821
0.901 0.842 0.471
0.91 0.733 0.823
0.609 0.224 0.134
0.697 0.394 0.016
0.263 0.38 0.602
0.454 0.44 0.904
0.12 0.395 0.959
0.892 0.26 0.734
0.236 0.677 0.804
0.322 0.749 0.934
0.1 0.485 0.014
0.699 0.445 0.502
0.697 0.166 0.722
0.279 0.115 0.436
0.975 0.687 0.439
0.693 0.914 0.845
0.299 0.578 0.676
0.96 0.039 0.01
0.584 0.509 0.536
0.686 0.318 0.898
0.144 0.778 0.531
0.392 0.02 0.197
0.722 0.694 0.922
0.937 0.944 0.626
0.375 0.11 0.342
0.148 0.57 0.643
0.529 0.985 0.039
0.762 0.04 0.064
0.385 0.944 0.219
0.794 0.022 0.224
0.584 0.729 0.893
0.962 0.382 0.515
0.229 0.121 0.012
0.829 0.253 0.812
0.229 0.579 0.006
0.377 0.484 0.122
0.073 0.722 0.385
0.45 0.855 0.876
0.644 0.96 0.617
0.271 0.879 0.803
0.13 0.523 0.806
0.869 0.548 0.488
0.39 0.144 0.754
0.261 0.899 0.621
0.449 0.691 0.552
0.686 0.026 0.017
0.04 0.666 0.246
0.492 0.951 0.787
0.67 0.685 0.255
0.642 0.426 0.848
0.15 0.61 0.227
0.122 0.917 0.79
0.972 0.571 0.035
0.885 0.678 0.561
0.504 0.172 0.665
0.212 0.936 0.927
0.957 0.329 0.528
0.14 0.97 0.508
0.92 0.974 0.595
0.58 0.181 0.346
0.59 0.983 0.731
0.935 0.298 0.269
0.596 0.28 0.36
0.561 0.68 0.805
0.784 0.75 0.763
0.29 0.949 0.926
0.173 0.427 0.676
0.171 0.883 0.551
0.171 0.899 0.118
0.048 0.114 0.248
0.602 0.17 0.332
0.493 0.454 0.908
0.554 0.454 0.631
0.468 0.96 0.072
0.22 0.921 0.559
0.701 0.721 0.498
0.871 0.908 0.087
0.56 0.946 0.119
0.766 0.512 0.856
0.122 0.79 1
0.351 0.576 0.319
0.841 0.432 0.925
0.445 0.589 0.321
0.516 0.17 0.041
0.321 0.46 0.888
0.662 0.769 0.042
0.341 0.85 0.73
0.506 0.316 0.472
0.516 0.319 0.074
0.746 0.676 0.79
0.305 0.58 0.225
0.438 0.348 0.511
0.049 0.267 0.483
0.904 0.517 0.603
0.841 0.911 0.775
0.256 0.999 0.021
0.266 0.5 0.142
0.472 0.625 0.561
0.055 0.76 0.463
0.967 0.102 0.642
0.571 0.68 0.448
0.836 0.271 0.395
0.895 0.542 0.894
0.622 0.675 0.299
0.851 0.032 0.166
0.245 0.089 0.404
0.902 0.197 0.797
0.007 0.846 0.929
0.102 0.745 0.163
0.366 0.202 0.776
0.91 0.176 0.241
0.93 0.034 0.55
0.239 0.715 0.111
0.187 0.783 0.99
0.985 0.818 0.684
0.724 0.494 0.268
0.676 0.849 0.968
0.311 0.567 0.873
0.231 0.235 0.663
0.457 0.91 0.267
0.094 0.721 0.249
0.917 0.039 0.224
0.098 0.429 0.609
0.395 0.216 0.693
0.973 0.929 0.644
0.285 0.588 0.705
0.735 0.944 0.653
0.326 0.658 0.972
0.225 0.576 0.206
0.211 0.261 0.542
0.803 0.331 0.826
0.909 0.976 0.069
0.593 0.564 0.034
0.752 0.868 0.902
0.956 0.128 0.721
0.795 0.935 0.703
0.415 0.703 0.563
0.1 0.172 0.052
0.67 0.89 0.193
0.018 0.769 0.367
0.681 0.037 0.967
0.103 0.238 0.244
0.809 0.291 0.267
0.455 0.705 0.594
0.711 0.654 0.782
0.846 0.072 0.155
0.453 0.338 0.334
0.783 0.464 0.404
0.643 0.215 0.844
0.684 0.636 0.889
0.455 0.091 0.552
0.133 0.944 0.753
0.481 0.088 0.316
0.406 0.735 0.877
0.338 0.728 0.64
0.195 0.357 0.587
0.731 0.764 0.25
0.072 0.845 0.238
0.506 0.366 0.739
0.676 0.214 0.789
0.456 0.13 0.471
0.144 0.932 0.557
0.463 0.345 0.036
0.019 0.314 0.081
0.797 0.307 0.486
0.989 0.626 0.051
0.165 0.83 0.925
0.252 0.07 0.055
0.546 0.974 0.108
0.759 0.3 0.191
0.894 0.324 0.878
0.974 0.837 0.664
0.07 0.487 0.726
0.177 0.056 0.468
0.525 0.013 0.745
0.162 0.116 0.048
0.966 0.165 0.39
0.935 0.732 0.823
0.506 0.842 0.49
0.929 0.82 0.826
0.111 0.162 0.548
0.043 0.416 0.872
0.881 0.608 0.807
0.805 0.338 0.324
0.16 0.507 0.622
0.067 0.315 0.012
0.346 0.839 0.228
0.834 0.678 0.612
0.344 0.963 0.753
0.271 0.745 0.684
0.219 0.665 0.596
0.125 0.658 0.845
0.655 0.1 0.541
0.536 0.389 0.406
0.291 0.343 0.414
0.442 0.208 0.138
0.677 0.352 0.125
0.93 0.28 0.032
0.044 0.848 0.85
0.522 0.885 0.702
0.362 0.281 0.911
0.746 0.854 0.283
0.121 0.047 0.01
0.48 0.842 0.278
0.329 0.809 0.724
0.491 0.782 0.087
0.462 0.078 0.328
0.262 0.6 0.372
0.222 0.949 0.169
0.511 0.772 0.808
0.762 0.179 0.006
0.973 0.234 0.964
0.633 0.073 0.324
0.186 0.1 0.102
0.825 0.878 0.32
0.568 0.476 0.25
0.774 0.399 0.635
0.551 0.608 0.436
0.693 0.765 0.648
0.932 0.993 0.945
0.437 0.567 0.694
0.539 0.612 0.483
0.377 0.08 0.231
0.787 0.518 0.954
0.643 0.824 0.693
0.581 0.254 0.378
0.513 0.344 0.627
0.165 0.169 0.2
0.204 0.842 0.657
0.412 0.831 0.575
0.532 0.464 0.155
0.074 0.706 0.158
0.664 0.155 0.345
0.214 0.834 0.35
0.61 0.65 0.576
0.233 0.35 0.086
0.814 0.934 0.02
0.29 0.32 0.317
0.837 0.749 0.229
0.085 0.91 0.347
0.556 0.181 0.276
0.943 0.647 0.997
0.935 0.462 0.345
0.158 0.691 0.967
0.922 0.275 0.571
0.452 0.19 0.664
0.221 0.511 0.053
0.856 0.342 0.768
0.95 0.999 0.407
0.862 0.094 0.3
0.922 0.5 0.178
0.897 0.343 0.37
0.278 0.092 0.728
0.776 0.444 0.192
0.608 0.666 0.896
0.313 0.601 0.828
0.474 0.444 0.525
0.568 0.652 0.407
0.385 0.446 0.225
0.968 0.442 0.151
0.239 0.704 0.854
0.503 0.514 0.54
0.616 0.835 0.624
0.357 0.045 0.365
0.423 0.39 0.5
0.309 0.618 0.487
0.708 0.028 0.315
0.864 0.35 0.112
0.713 0.905 0.87
0.815 0.243 0.132
0.29 0.176 0.877
0.373 0.061 0.729
0.373 0.128 0.946
0.451 0.803 0.771
0.579 0.568 0.209
0.434 0.629 0.78
0.956 0.322 0.429
0.599 0.899 0.889
0.933 0.303 0.516
0.469 0.979 0.331
0.85 0.551 0.947
0.614 0.114 0.459
0.91 0.089 0.943
0.471 0.312 0.528
0.985 0.814 0.507
0.969 0.69 0.038
0.987 0.278 0.779
0.608 0.319 0.092
0.604 0.314 0.451
0.043 0.613 0.827
0.316 0.557 0.578
0.531 0.381 0.683
0.553 0.07 0.182
0.193 0.401 0.504
0.412 0.675 0.383
0.382 0.392 0.763
0.35 0.488 0.568
0.771 0.663 0.141
0.533 0.849 0.875
0.854 0.651 0.012
0.381 0.246 0.639
0.814 0.181 0.769
0.395 0.718 0.746
0.696 0.365 0.249
0.217 0.306 0.93
0.029 0.161 0.701
0.98 0.439 0.211
0.681 0.254 0.432
0.258 0.55 0.602
0.255 0.999 0.794
0.466 0.72 0.297
0.932 0.55 0.366
0.428 0.686 0.395
0.916 0.996 0.846
0.615 0.009 0.245
0.022 0.682 0.871
0.294 0.714 0.955
0.957 0.339 0.25
0.165 0.462 0.445
0.797 0.782 0.187
0.102 0.629 0.925
0.775 0.513 0.971
0.407 0.421 0.671
0.456 0.7 0.852
0.676 0.349 0.105
0.046 0.971 0.81
0.087 0.967 0.212
0.292 0.306 0.252
0.051 0.893 0.087
0.538 0.094 0.772
0.234 0.937 0.092
0.418 0.666 0.5
0.169 0.136 0.182
0.878 0.64 0.852
0.419 0.167 0.799
0.418 0.886 0.152
0.59 0.589 0.599
0.897 0.742 0.125
0.129 0.786 0.153
0.106 0.679 0.599
0.894 0.008 0.616
0.005 0.719 0.865
0.272 0.469 0.991
0.654 0.548 0.439
0.626 0.34 0.041
0.657 0.309 0.925
0.208 0.093 0.932
0.454 0.5 0.92
0.009 0.729 0.917
0.35 0.831 0.238
0.511 0.241 0.791
0.353 0.755 0.437
0.358 0.962 0.735
0.143 0.679 0.879
0.133 0.516 0.359
0.057 0.371 0.081
0.861 0.138 0.382
0.476 0.316 0.513
0.837 0.752 0.543
0.553 0.174 0.904
0.505 0.845 0.8
0.156 0.686 0.085
0.015 0.7 0.827
0.631 0.573 0.561
0.773 0.327 0.45
0.533 0.432 0.847
0.982 0.978 0.805
0.402 0.918 0.046
0.501 0.6 0.314
0.951 0.136 0.796
0.592 0.418 0.897
0.577 0.186 0.649
0.873 0.993 0.657
0.781 0.875 0.898
0.237 0.388 0.474
0.36 0.342 0.305
0.253 0.973 0.905
0.59 0.701 0.941
0.866 0.457 0.941
0.542 0.492 0.637
0.666 0.54 0.098
0.301 0.401 0.332
0.243 0.219 0.421
0.796 0.436 0.505
0.386 0.262 0.461
0.589 0.772 0.154
0.773 0.831 0.658
0.432 0.624 0.343
0.157 0.548 0.71
0.17 0.35 0.127
0.751 0.397 0.407
0.362 0.485 0.663
0.502 0.077 0.068
0.616 0.828 0.184
0.505 0.061 0.364
0.182 0.811 0.642
0.005 0.295 0.15
0.117 0.389 0.596
0.879 0.173 0.855
0.036 0.355 0.103
0.42 0.108 0.394
0.679 0.355 0.467
0.602 0.662 0.775
0.01 0.35 0.833
0.598 0.246 0.891
0.062 0.767 0.769
0.299 0.906 0.249
0.047 0.172 0.11
0.186 0.896 0.248
0.034 0.018 0.949
0.55 0.135 0.527
0.831 0.236 0.756
0.749 0.577 0.535
0.524 0.498 0.234
0.483 0.953 0.258
0.662 0.194 0.605
0.116 0.991 0.405
0.848 0.752 0.81
0.74 0.47 0.025
0.351 0.117 0.54
0.464 0.972 0.053
0.222 0.604 0.37
0.905 0.759 0.065
0.128 0.798 0.283
0.222 0.89 0.43
0.105 0.751 0.229
0.086 0.389 0.607
0.713 0.782 0.188
0.323 0.026 0.358
0.596 0.928 0.174
